order_id,order_value,category,payment_mode,pincode,timestamp,agent_id,agent_age_days,intent_category,intent_max_price,intent_key_attribute,order_category,order_price,order_key_attribute,user_id,user_historical_avg_order_value,user_historical_category,user_account_age_days,device_ip_consistency,user_past_over_budget_kept_rate,category_match,price_within_budget,attribute_match,preference_fit_signal,is_fraud,is_return_or_mismatch,true_spike_window,true_ring_id,fraud_risk_score,intent_match_confidence,preference_fit_score,decision,reason
txn_000000,4628.74,footwear,COD,500016,2026-01-14T11:33:00,agent_12,147,footwear,6337.88,attr_4,footwear,4628.74,attr_4,user_398,3066.97,footwear,239,1,0.74,1,1,1,0.518,0,0,False,-1,0.226,0.723,0.74,AUTO_APPROVE,Low fraud-risk (0.23) and high intent-match confidence (0.72) — auto-approved.
txn_000001,4258.01,electronics,COD,500010,2026-01-04T03:38:00,agent_19,35,electronics,3778.64,attr_1,electronics,4258.01,attr_1,user_398,5079.73,footwear,1250,1,0.39,1,0,1,0.117,1,0,False,-1,0.261,0.405,0.078,HOLD_QUICK_VERIFY,"Fraud-risk score 0.26 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000002,4069.25,fashion,prepaid,500016,2026-01-11T20:14:00,agent_47,34,fashion,4765.56,attr_4,fashion,4069.25,attr_4,user_152,1268.88,fashion,1005,1,0.57,1,1,1,0.399,0,0,False,-1,0.2,0.723,0.57,AUTO_APPROVE,Low fraud-risk (0.20) and high intent-match confidence (0.72) — auto-approved.
txn_000003,5973.96,flights,COD,50001,2026-01-03T23:31:00,agent_14,180,flights,6900.52,attr_1,flights,5973.96,attr_1,user_161,820.67,flights,447,1,0.56,1,1,1,0.392,0,0,False,-1,0.309,0.723,0.56,HOLD_QUICK_VERIFY,"Fraud-risk score 0.31 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000004,2135.21,electronics,COD,50007,2026-01-11T00:47:00,agent_20,53,electronics,1709.54,attr_1,electronics,2135.21,attr_1,user_480,3255.75,electronics,1047,1,0.38,1,0,1,0.266,1,0,False,-1,0.495,0.381,0.38,HOLD_FRAUD_REVIEW,Fraud-risk score 0.49 exceeds the high-confidence threshold 0.45 — held for manual fraud review.
txn_000005,8677.6,groceries,prepaid,500019,2026-01-04T16:37:00,agent_43,134,groceries,6340.63,attr_2,groceries,8677.6,attr_2,user_246,2971.49,groceries,153,0,0.46,1,0,1,0.322,0,0,False,-1,0.237,0.359,0.46,HOLD_LIKELY_MISMATCH,"Order deviates from stated intent (intent-match confidence 0.36) and doesn't align with this customer's history (preference-fit 0.46) — likely a mistaken purchase, held to prevent a probable return."
txn_000006,1296.33,fashion,prepaid,500014,2026-01-09T02:41:00,agent_35,54,fashion,1133.33,attr_3,fashion,1296.33,attr_5,user_148,2786.94,fashion,746,1,0.14,1,0,0,0.098,0,0,False,-1,0.205,0.313,0.14,HOLD_LIKELY_MISMATCH,"Order deviates from stated intent (intent-match confidence 0.31) and doesn't align with this customer's history (preference-fit 0.14) — likely a mistaken purchase, held to prevent a probable return."
txn_000007,3218.55,footwear,COD,50004,2026-01-11T20:54:00,agent_34,29,footwear,4149.94,attr_5,footwear,3218.55,attr_5,user_182,3198.89,footwear,715,1,0.33,1,1,1,0.231,1,0,False,-1,0.404,0.723,0.33,HOLD_QUICK_VERIFY,"Fraud-risk score 0.40 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000008,3835.4,fashion,COD,50001,2026-01-08T16:40:00,agent_9,20,fashion,5541.8,attr_5,fashion,3835.4,attr_5,user_277,2046.79,fashion,1093,1,0.11,1,1,1,0.077,1,0,False,-1,0.411,0.723,0.11,HOLD_QUICK_VERIFY,"Fraud-risk score 0.41 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000009,7623.43,flights,prepaid,50008,2026-01-12T05:25:00,agent_18,91,flights,7646.75,attr_4,flights,7623.43,attr_4,user_422,3332.81,flights,1404,1,0.04,1,1,1,0.028,0,0,False,-1,0.244,0.723,0.04,AUTO_APPROVE,Low fraud-risk (0.24) and high intent-match confidence (0.72) — auto-approved.
