order_id,order_value,category,payment_mode,pincode,timestamp,agent_id,agent_age_days,intent_category,intent_max_price,intent_key_attribute,order_category,order_price,order_key_attribute,user_id,user_historical_avg_order_value,user_historical_category,user_account_age_days,device_ip_consistency,user_past_over_budget_kept_rate,category_match,price_within_budget,attribute_match,preference_fit_signal,is_fraud,is_return_or_mismatch
5f28b540,7104.86,footwear,COD,500016,2026-03-07T05:11:00,agent_46,220,footwear,7198.41,attr_4,footwear,7104.86,attr_4,user_398,1570.51,footwear,75,1,0.68,1,1,1,0.476,0,0
467679ec,3951.2,electronics,COD,500010,2026-01-28T18:21:00,agent_42,105,electronics,5523.6,attr_1,electronics,3951.2,attr_1,user_402,2904.34,flights,475,1,0.8,1,1,1,0.24,0,0
8f59a660,5250.22,footwear,prepaid,500016,2026-03-18T21:15:00,agent_6,479,footwear,6355.47,attr_4,footwear,5250.22,attr_4,user_280,3024.04,footwear,218,1,0.67,1,1,1,0.469,0,0
2fd841b5,1735.63,fashion,COD,50007,2026-02-26T10:37:00,agent_25,114,fashion,2109.39,attr_2,fashion,1735.63,attr_2,user_209,5193.72,fashion,96,1,0.29,1,1,1,0.203,0,0
a8c7b4cd,4452.53,fashion,COD,50007,2026-03-29T12:56:00,agent_36,6,fashion,5917.7,attr_1,fashion,4452.53,attr_1,user_181,3040.32,fashion,756,1,0.7,1,1,1,0.49,1,0
133d611b,11311.16,home,COD,50002,2026-02-12T11:51:00,agent_48,270,home,7314.36,attr_3,home,11311.16,attr_3,user_290,1962.28,fashion,1170,1,0.45,1,0,1,0.135,1,0
fac6bd8c,7260.44,flights,prepaid,50004,2026-03-23T14:48:00,agent_26,259,flights,5895.97,attr_4,flights,7260.44,attr_4,user_396,3950.2,flights,978,1,0.42,1,0,1,0.294,1,0
dd0d4385,4809.22,electronics,prepaid,50006,2026-02-07T01:55:00,agent_29,201,electronics,4931.87,attr_5,electronics,4809.22,attr_5,user_476,625.42,groceries,1176,1,0.49,1,1,1,0.147,0,0
7cc990ba,9709.9,electronics,COD,500011,2026-01-06T04:42:00,agent_7,3,electronics,6697.19,attr_3,electronics,9709.9,attr_2,user_71,5428.88,electronics,835,1,0.67,1,0,0,0.469,0,0
c61e5d34,3711.31,flights,prepaid,500011,2026-05-05T02:09:00,agent_53,42,flights,2878.54,attr_2,flights,3711.31,attr_1,user_58,5740.95,flights,777,1,0.94,1,0,0,0.658,0,0
14c32038,2183.94,flights,prepaid,500010,2026-05-02T11:12:00,agent_16,338,flights,3302.43,attr_2,flights,2183.94,attr_2,user_23,1019.57,groceries,1405,1,0.12,1,1,1,0.036,0,0
6e80cc68,6093.3,electronics,prepaid,50006,2026-04-13T15:16:00,agent_12,248,electronics,4255.56,attr_2,electronics,6093.3,attr_3,user_413,1291.44,electronics,352,1,0.68,1,0,0,0.476,0,0
3f0f785c,3856.35,footwear,prepaid,50009,2026-05-15T04:46:00,agent_10,125,footwear,2757.12,attr_1,footwear,3856.35,attr_1,user_298,3187.21,footwear,1433,1,0.92,1,0,1,0.644,0,0
6c0bdcba,6047.9,electronics,prepaid,500019,2026-02-21T23:16:00,agent_55,47,electronics,6385.73,attr_5,electronics,6047.9,attr_5,user_213,1100.29,footwear,1197,1,0.53,1,1,1,0.159,0,0
46bc66ae,2879.35,footwear,prepaid,500014,2026-02-09T13:04:00,agent_35,320,footwear,2358.8,attr_2,footwear,2879.35,attr_2,user_77,4603.08,electronics,166,1,0.59,1,0,1,0.177,0,1
5212067f,1702.04,groceries,COD,50003,2026-01-26T04:59:00,agent_4,14,groceries,1809.81,attr_5,groceries,1702.04,attr_5,user_444,3751.29,groceries,596,1,0.5,1,1,1,0.35,1,0
5985e6f3,556.11,electronics,prepaid,50005,2026-05-17T01:14:00,agent_19,89,electronics,869.41,attr_2,electronics,556.11,attr_2,user_401,2554.88,electronics,161,1,0.05,1,1,1,0.035,0,0
641587d5,1981.25,flights,prepaid,500016,2026-02-20T21:18:00,agent_44,131,flights,1509.14,attr_5,flights,1981.25,attr_5,user_164,3328.23,flights,699,1,0.64,1,0,1,0.448,0,0
94c14df7,6192.83,groceries,prepaid,50008,2026-04-13T01:38:00,agent_55,47,groceries,7616.43,attr_4,groceries,6192.83,attr_4,user_18,3145.01,groceries,807,1,0.65,1,1,1,0.455,0,0
df7b3766,4277.69,electronics,prepaid,500012,2026-05-12T09:25:00,agent_5,4,electronics,5107.85,attr_4,electronics,4277.69,attr_4,user_45,1023.03,flights,1404,1,0.96,1,1,1,0.288,0,0
